State_name,County_name,Concat,CrimeRate,CrimeRate,LAND_AREA,Tot_Population_ACS_14_18,PopulationDensity(P/sqMi),Median_Age_ACS_14_18,Poverty%2018
DistrictofColumbia,DistrictofColumbia,DistrictofColumbiaDistrictofColumbia,#N/A,#N/A,61.047,684498,"11,212.64",33.9,16%
PuertoRicoCommonwealth,SanJuanMunicipio,PuertoRicoCommonwealthSanJuanMunicipio,#N/A,#N/A,47.837,344606,"7,203.75",42.5,41%
PuertoRicoCommonwealth,CatañoMunicipio,PuertoRicoCommonwealthCatañoMunicipio,#N/A,#N/A,4.843,24888,"5,138.96",39.8,47%
PuertoRicoCommonwealth,BayamónMunicipio,PuertoRicoCommonwealthBayamónMunicipio,#N/A,#N/A,44.315,182955,"4,128.51",41.3,34%
PuertoRicoCommonwealth,CarolinaMunicipio,PuertoRicoCommonwealthCarolinaMunicipio,#N/A,#N/A,45.315,157453,"3,474.63",42,29%
PuertoRicoCommonwealth,ToaBajaMunicipio,PuertoRicoCommonwealthToaBajaMunicipio,#N/A,#N/A,23.237,79726,"3,430.99",39.8,36%
PuertoRicoCommonwealth,TrujilloAltoMunicipio,PuertoRicoCommonwealthTrujilloAltoMunicipio,#N/A,#N/A,20.764,67780,"3,264.30",39.8,31%
PuertoRicoCommonwealth,GuaynaboMunicipio,PuertoRicoCommonwealthGuaynaboMunicipio,#N/A,#N/A,27.577,88663,"3,215.11",43.6,27%
PuertoRicoCommonwealth,ToaAltaMunicipio,PuertoRicoCommonwealthToaAltaMunicipio,#N/A,#N/A,27.016,73405,"2,717.09",37.7,29%
Louisiana,Orleans,LouisianaOrleans,4022,#N/A,169.43,389648,"2,299.76",36.3,24%
PuertoRicoCommonwealth,CaguasMunicipio,PuertoRicoCommonwealthCaguasMunicipio,#N/A,#N/A,58.596,131363,"2,241.84",40.5,37%
PuertoRicoCommonwealth,GuraboMunicipio,PuertoRicoCommonwealthGuraboMunicipio,#N/A,#N/A,27.889,46894,"1,681.45",38.6,29%
PuertoRicoCommonwealth,DoradoMunicipio,PuertoRicoCommonwealthDoradoMunicipio,#N/A,#N/A,23.088,37208,"1,611.57",40,34%
PuertoRicoCommonwealth,AguadillaMunicipio,PuertoRicoCommonwealthAguadillaMunicipio,#N/A,#N/A,36.526,54166,"1,482.94",41.5,50%
PuertoRicoCommonwealth,JuncosMunicipio,PuertoRicoCommonwealthJuncosMunicipio,#N/A,#N/A,26.488,39128,"1,477.20",38.4,50%
Louisiana,Jefferson,LouisianaJefferson,1892,#N/A,295.632,435300,"1,472.44",39.2,15%
